Designator,Mid X,Mid Y,Rotation,Layer
C1,114.0,-90.9625,270.0,top
C2,114.0,-75.2,90.0,top
C3,114.0,-80.6,90.0,top
C4,114.0,-85.7,90.0,top
D1,106.6,-72.5,90.0,top
D2,117.9,-92.355,90.0,top
D3,121.615,-92.355,90.0,top
D4,125.3,-92.4,90.0,top
F1,114.1,-55.0,180.0,top
J1,107.45,-64.85,270.0,top
J10,122.7,-62.0,90.0,top
J11,130.1,-62.0,90.0,top
J12,122.71,-54.025,90.0,top
J13,130.1,-54.0,90.0,top
J14,137.5,-54.0,90.0,top
J15,122.71,-58.025,90.0,top
J16,130.1,-58.0,90.0,top
J17,137.5,-58.0,90.0,top
J18,122.7,-83.5,90.0,top
J19,130.0,-83.5,90.0,top
J2,122.7,-74.825,90.0,top
J20,144.8,-87.5,90.0,top
J21,137.5,-87.5,90.0,top
J22,130.0,-87.5,90.0,top
J23,122.71,-87.525,90.0,top
J24,144.8,-83.5,90.0,top
J25,137.5,-83.5,90.0,top
J26,122.7,-70.0,90.0,top
J27,130.1,-70.0,90.0,top
J28,137.4,-70.0,90.0,top
J29,144.9,-70.0,90.0,top
J3,130.0,-74.825,90.0,top
J30,137.45,-62.025,90.0,top
J31,144.84,-62.0,90.0,top
J32,122.71,-66.025,90.0,top
J33,130.11,-66.025,90.0,top
J34,137.4,-66.025,90.0,top
J35,144.85,-66.025,90.0,top
J4,137.5,-74.825,90.0,top
J5,144.8,-74.825,90.0,top
J6,122.7,-78.8,90.0,top
J7,130.0,-78.8,90.0,top
J8,137.5,-78.8,90.0,top
J9,144.8,-78.8,90.0,top
R1,117.9,-97.9,270.0,top
R2,121.6,-97.9,270.0,top
R3,125.325,-97.9,270.0,top
U1,106.16,-78.48,180.0,top
U2,106.085,-87.275,180.0,top
